datetime;OBSERVED;U_mu
2008-12-27;1;88,5
2008-12-28;1;87,875
2008-12-29;1;89,75
2008-12-30;1;88,625
2008-12-31;1;84,5
2009-01-01;1;64,875
2009-01-02;1;85,875
2009-01-03;1;82,375
2009-01-04;1;83,125
2009-01-05;1;76,75
2009-01-06;1;79,375
2009-01-07;1;76,375
2009-01-08;0;85,25
2009-01-09;0;90,125
2009-01-10;1;92,5
2009-01-11;1;83,125
2009-01-13;1;87,875
2009-01-14;1;79,75
2009-01-15;1;76,875
2009-01-16;1;68,5
2009-01-17;1;78,875
2009-01-18;1;82,625
2009-01-19;0;84,375
2009-01-21;0;90,875
2009-01-22;0;88,875
2009-01-23;0;91,25
2009-01-24;1;92,5
2009-01-25;0;94,75
2009-01-26;0;92,125
2009-01-27;1;89,125
2009-01-28;1;88,0
2009-01-29;1;85,25
2009-01-30;1;84,0
2009-01-31;1;82,375
2009-02-01;1;83,375
2009-02-02;1;85,625
2009-02-03;1;83,85714285714286
2009-02-04;1;78,25
2009-02-05;1;84,875
2009-02-06;0;88,875
2009-02-07;0;95,625
2009-02-08;0;96,0
2009-02-09;1;71,5
2009-02-10;1;82,875
2009-02-11;1;87,125
2009-02-12;1;86,75
2009-02-13;0;81,625
2009-02-14;1;85,875
2009-02-15;1;76,875
2009-02-16;1;73,875
2009-02-17;1;74,375
2009-02-18;1;76,0
2009-02-19;0;79,125
2009-02-20;1;78,875
2009-02-21;1;62,125
2009-02-22;1;72,875
2009-02-23;1;79,0
2009-02-24;1;84,5
2009-02-25;0;71,25
2009-02-26;0;91,625
2009-02-27;0;91,625
2009-02-28;0;78,75
2009-03-01;1;81,14285714285714
2009-03-02;1;79,75
2009-03-03;0;89,0
2009-03-04;1;89,875
2009-03-05;1;86,875
2009-03-06;1;84,125
2009-03-07;1;80,75
2009-03-08;1;86,375
2009-03-09;0;91,875
2009-03-10;0;92,5
2009-03-11;1;89,25
2009-03-12;1;88,66666666666667
2009-03-13;1;85,0
2009-03-14;1;79,125
2009-03-15;0;86,5
2009-03-16;1;86,5
2009-03-17;0;91,375
2009-03-18;1;75,75
2009-03-19;1;64,125
2009-03-20;1;64,375
2009-03-21;0;62,625
2009-03-22;1;58,5
2009-03-23;1;78,375
2009-03-24;0;74,375
2009-03-25;1;55,125
2009-03-26;1;57,875
2009-03-27;1;59,625
2009-03-28;0;89,75
2009-03-29;0;91,42857142857143
2009-03-30;1;89,875
2009-03-31;0;85,0
2009-04-01;1;70,5
2009-04-02;1;70,0
2009-04-03;1;66,375
2009-04-04;0;92,625
2009-04-05;0;91,25
2009-04-06;0;89,875
2009-04-07;0;90,125
2009-04-08;1;78,75
2009-04-09;1;63,625
2009-04-10;1;77,375
2009-04-11;1;85,375
2009-04-12;1;88,42857142857143
2009-04-13;1;88,85714285714286
2009-04-14;1;89,0
2009-04-15;1;61,875
2009-04-16;1;52,875
2009-04-17;1;64,625
2009-04-18;1;53,625
2009-04-19;1;49,5
2009-04-20;1;42,375
2009-04-21;1;40,5
2009-04-22;1;49,625
2009-04-23;1;54,0
2009-04-24;1;55,0
2009-04-25;1;69,75
2009-04-26;1;62,875
2009-04-27;1;57,875
2009-04-28;1;60,25
2009-04-29;1;67,125
2009-04-30;1;53,875
2009-05-01;1;49,375
2009-05-02;1;41,875
2009-05-03;1;57,75
2009-05-04;1;70,25
2009-05-05;1;78,125
2009-05-06;0;87,375
2009-05-07;1;70,875
2009-05-08;0;68,75
2009-05-09;0;78,5
2009-05-10;1;78,5
2009-05-11;0;85,75
2009-05-12;1;58,25
2009-05-13;1;54,75
2009-05-14;1;52,25
2009-05-15;1;40,0
2009-05-16;1;53,375
2009-05-17;1;48,875
2009-05-18;1;55,875
2009-05-19;0;68,0
2009-05-20;1;83,375
2009-05-21;1;90,25
2009-05-22;0;83,875
2009-05-23;0;91,375
2009-05-24;1;62,0
2009-05-25;1;49,0
2009-05-26;1;66,625
2009-05-27;1;84,0
2009-05-28;1;76,625
2009-05-31;1;52,875
2009-06-01;1;55,25
2009-06-02;1;44,25
2009-06-03;0;65,375
2009-06-04;0;93,125
2009-06-05;0;89,0
2009-06-06;1;74,125
2009-06-07;1;64,375
2009-06-08;1;52,75
2009-06-09;1;80,25
2009-06-10;1;83,71428571428571
2009-06-11;1;86,375
2009-06-12;1;79,0
2009-06-13;0;84,0
2009-06-14;0;85,875
2009-06-15;0;89,375
2009-06-16;1;74,5
2009-06-17;1;60,375
2009-06-18;1;56,875
2009-06-19;0;87,75
2009-06-20;1;77,375
2009-06-21;1;71,0
2009-06-22;1;66,875
2009-06-23;1;57,875
2009-06-24;1;57,25
2009-06-25;1;55,125
2009-06-26;1;48,0
2009-06-27;1;73,125
2009-06-28;1;71,0
2009-06-29;1;76,875
2009-06-30;1;70,375
2009-07-01;1;67,375
2009-07-02;1;60,375
2009-07-03;1;51,375
2009-07-04;1;54,625
2009-07-05;0;69,0
2009-07-06;1;63,375
2009-07-07;0;77,25
2009-07-08;0;86,75
2009-07-09;0;85,375
2009-07-10;1;75,75
2009-07-11;1;76,375
2009-07-12;0;85,125
2009-07-13;0;88,125
2009-07-14;1;74,875
2009-07-15;1;80,25
2009-07-17;1;76,375
2009-07-18;1;68,5
2009-07-19;1;69,25
2009-07-20;0;91,25
2009-07-21;1;81,125
2009-07-22;0;84,625
2009-07-23;1;83,625
2009-07-24;0;87,71428571428571
2009-07-25;0;87,0
2009-07-26;1;86,5
2009-07-27;1;78,125
2009-07-28;1;85,125
2009-07-29;0;85,25
2009-07-30;1;76,125
2009-08-02;1;84,5
2009-08-03;0;85,125
2009-08-04;1;82,125
2009-08-05;1;79,875
2009-08-06;1;76,85714285714286
2009-08-07;0;77,0
2009-08-08;1;65,66666666666667
2009-08-09;1;70,625
2009-08-10;1;72,125
2009-08-11;1;74,875
2009-08-12;0;86,875
2009-08-13;1;76,0
2009-08-14;1;73,25
2009-08-15;1;66,66666666666667
2009-08-16;0;82,625
2009-08-17;0;78,25
2009-08-18;0;93,0
2009-08-19;1;69,0
2009-08-20;1;64,375
2009-08-21;1;72,125
2009-08-22;1;76,625
2009-08-23;1;77,625
2009-08-24;1;69,875
2009-08-25;1;79,125
2009-08-26;0;85,0
2009-08-27;0;92,0
2009-08-28;1;89,5
2009-08-29;1;83,375
2009-08-30;0;84,5
2009-08-31;0;76,75
2009-09-01;1;88,375
2009-09-02;1;76,625
2009-09-03;0;93,625
2009-09-04;0;86,5
2009-09-05;1;86,875
2009-09-06;0;95,0
2009-09-07;0;88,875
2009-09-08;0;89,375
2009-09-09;1;84,375
2009-09-10;1;75,375
2009-09-11;1;75,0
2009-09-12;0;84,0
2009-09-13;1;80,0
2009-09-14;1;78,625
2009-09-15;1;76,875
2009-09-16;0;87,33333333333333
2009-09-17;1;76,625
2009-09-18;1;79,125
2009-09-19;1;77,25
2009-09-20;1;83,125
2009-09-21;1;87,125
2009-09-22;1;83,75
2009-09-23;0;80,875
2009-09-24;1;77,375
2009-09-25;1;79,0
2009-09-26;1;89,71428571428571
2009-09-27;1;90,875
2009-09-28;0;83,28571428571429
2009-09-29;0;80,875
2009-09-30;1;82,0
2009-10-01;1;80,71428571428571
2009-10-02;1;81,28571428571429
2009-10-03;1;81,71428571428571
2009-10-04;0;94,875
2009-10-05;0;84,625
2009-10-06;1;77,0
2009-10-07;1;89,125
2009-10-09;1;80,875
2009-10-10;1;79,875
2009-10-11;1;78,71428571428571
2009-10-12;1;79,5
2009-10-15;1;78,0
2009-10-16;1;85,875
2009-10-17;1;91,25
2009-10-18;1;95,75
2009-10-19;1;96,66666666666667
2009-10-20;1;94,25
2009-10-21;1;90,875
2009-10-22;1;94,0
2009-10-23;1;97,5
2009-10-24;1;93,0
2009-10-25;0;93,55555555555556
2009-10-26;0;97,0
2009-10-27;0;99,5
2009-10-28;1;88,125
2009-10-29;1;76,875
2009-10-30;1;75,875
2009-10-31;1;78,0
2009-11-01;1;79,25
2009-11-02;1;76,625
2009-11-03;1;79,75
2009-11-04;1;76,875
2009-11-05;1;85,0
2009-11-06;1;94,625
2009-11-07;1;94,0
2009-11-08;1;95,0
2009-11-09;1;99,5
2009-11-10;1;98,66666666666667
2009-11-12;1;83,875
2009-11-13;1;86,25
2009-11-14;1;91,875
2009-11-15;1;91,625
2009-11-16;1;84,875
2009-11-17;1;92,25
2009-11-18;0;96,83333333333333
2009-11-19;0;97,14285714285714
2009-11-20;0;95,66666666666667
2009-11-21;0;93,875
2009-11-22;1;91,625
2009-11-23;0;92,85714285714286
2009-11-24;0;95,75
2009-11-25;0;95,0
2009-11-26;0;93,85714285714286
2009-11-27;0;92,375
2009-11-28;0;91,75
2009-11-29;0;91,25
2009-11-30;1;89,25
2009-12-01;1;90,0
2009-12-03;1;89,0
2009-12-04;1;94,875
2009-12-05;0;91,57142857142857
2009-12-06;1;78,25
2009-12-07;1;83,625
2009-12-08;1;88,0
2009-12-09;1;94,0
2009-12-10;1;94,375
2009-12-11;1;94,125
2009-12-12;1;94,375
2009-12-13;0;90,5
2009-12-14;0;80,75
2009-12-15;0;90,625
2009-12-16;1;79,25
2009-12-17;0;88,875
2009-12-19;1;59,25
2009-12-20;0;81,375
2009-12-21;0;87,16666666666667
2009-12-22;0;88,375
2009-12-23;0;95,5
2009-12-25;1;90,125
2009-12-26;0;95,125
2009-12-27;0;91,25
2009-12-28;1;92,625
2009-12-29;0;93,0
2009-12-30;0;93,0
2009-12-31;0;86,5
2010-01-01;1;86,25
2010-01-02;1;82,875
2010-01-03;0;88,75
2010-01-04;0;91,83333333333333
2010-01-05;0;89,0
2010-01-06;0;89,875
2010-01-07;0;92,125
2010-01-08;1;85,625
2010-01-09;1;88,875
2010-01-10;1;92,75
2010-01-11;1;94,75
2010-01-12;1;99,5
2010-01-13;0;99,85714285714286
2010-01-14;1;99,625
2010-01-15;1;97,5
2010-01-16;1;87,25
2010-01-17;1;89,75
2010-01-18;1;88,75
2010-01-19;1;87,875
2010-01-20;1;88,625
2010-01-21;1;87,28571428571429
2010-01-22;1;89,25
2010-01-23;1;89,5
2010-01-24;1;87,71428571428571
2010-01-25;1;90,75
2010-01-26;1;85,0
2010-01-27;1;83,375
2010-01-28;1;87,375
2010-01-29;0;91,875
2010-01-31;0;96,57142857142857
2010-02-01;0;93,25
2010-02-02;0;91,0
2010-02-03;1;83,0
2010-02-04;1;90,75
2010-02-05;0;92,5
2010-02-06;1;92,375
2010-02-07;0;96,625
2010-02-08;0;99,14285714285714
2010-02-09;0;92,25
2010-02-10;1;88,625
2010-02-11;1;90,75
2010-02-12;1;92,25
2010-02-13;0;87,0
2010-02-14;1;91,5
2010-02-15;1;93,625
2010-02-16;0;95,0
2010-02-17;0;91,25
2010-02-18;0;85,75
2010-02-19;0;87,28571428571429
2010-02-20;1;67,75
2010-02-21;0;84,875
2010-02-22;0;90,125
2010-02-23;0;92,57142857142857
2010-02-24;0;85,25
2010-02-25;1;96,125
2010-02-26;0;95,75
2010-02-28;0;98,0
2010-03-01;0;97,33333333333333
2010-03-02;0;94,75
2010-03-03;0;88,625
2010-03-04;0;85,42857142857143
2010-03-05;1;77,625
2010-03-06;1;82,625
2010-03-07;1;76,5
2010-03-08;1;88,75
2010-03-09;1;71,625
2010-03-10;1;72,375
2010-03-11;1;91,625
2010-03-12;0;76,71428571428571
2010-03-13;1;81,125
2010-03-14;1;82,25
2010-03-15;1;72,0
2010-03-16;1;81,875
2010-03-17;1;86,625
2010-03-18;0;89,16666666666667
2010-03-19;0;93,5
2010-03-20;0;96,2
2010-03-21;0;94,25
2010-03-22;0;76,71428571428571
2010-03-23;1;87,57142857142857
2010-03-24;0;69,625
2010-03-25;1;85,0
2010-03-26;0;87,14285714285714
2010-03-29;0;96,25
2010-03-30;0;95,0
2010-03-31;0;93,0
2010-04-01;1;81,75
2010-04-02;1;90,33333333333333
2010-04-05;1;87,0
2010-04-07;1;88,28571428571429
2010-04-08;1;86,125
2010-04-09;1;79,375
2010-04-10;1;78,0
2010-04-11;1;74,875
2010-04-12;1;67,5
2010-04-13;1;71,0
2010-04-14;1;59,0
2010-04-15;1;72,25
2010-04-17;0;73,375
2010-04-18;0;71,375
2010-04-19;1;71,375
2010-04-20;1;50,75
2010-04-21;1;60,625
2010-04-22;0;86,125
2010-04-23;0;84,125
2010-04-24;0;72,0
2010-04-25;1;57,625
2010-04-26;1;65,25
2010-04-27;1;51,375
2010-04-28;1;50,714285714285715
2010-04-29;0;86,75
2010-04-30;1;89,625
2010-05-01;0;94,42857142857143
2010-05-02;0;73,125
2010-05-03;1;56,625
2010-05-04;0;77,375
2010-05-05;1;70,25
2010-05-06;1;54,5
2010-05-07;0;65,75
2010-05-08;0;90,75
2010-05-09;1;93,5
2010-05-10;1;92,875
2010-05-11;1;80,25
2010-05-12;1;72,125
2010-05-13;0;80,14285714285714
2010-05-14;1;65,375
2010-05-15;1;54,25
2010-05-16;1;65,25
2010-05-17;0;78,125
2010-05-18;1;83,375
2010-05-19;1;57,875
2010-05-20;1;47,375
2010-05-21;1;56,75
2010-05-22;0;67,75
2010-05-23;0;86,125
2010-05-24;0;91,875
2010-05-25;1;71,125
2010-05-26;0;71,125
2010-05-27;0;94,375
2010-05-28;0;90,25
2010-05-29;0;84,375
2010-05-30;1;79,875
2010-06-01;1;50,833333333333336
2010-06-02;1;60,5
2010-06-03;1;83,0
2010-06-04;1;50,125
2010-06-05;1;44,625
2010-06-06;1;58,375
2010-06-07;1;70,0
2010-06-08;1;58,25
2010-06-09;1;57,714285714285715
2010-06-10;1;57,125
2010-06-11;0;81,75
2010-06-12;0;90,5
2010-06-13;0;87,125
2010-06-14;1;82,875
2010-06-15;1;84,625
2010-06-16;1;60,125
2010-06-17;1;56,625
2010-06-18;1;68,5
2010-06-19;0;76,0
2010-06-20;0;80,5
2010-06-21;0;81,0
2010-06-22;1;60,5
2010-06-23;1;57,5
2010-06-24;1;55,375
2010-06-25;0;79,375
2010-06-26;1;84,375
2010-06-27;1;55,25
2010-06-28;1;66,25
2010-06-29;1;55,0
2010-06-30;1;66,375
2010-07-01;1;73,5
2010-07-04;1;63,625
2010-07-05;1;70,875
2010-07-06;0;78,625
2010-07-07;0;81,75
2010-07-08;1;83,75
2010-07-09;1;71,0
2010-07-10;1;77,25
2010-07-11;1;73,0
2010-07-12;1;69,625
2010-07-13;1;71,75
2010-07-14;1;68,625
2010-07-15;0;83,5
2010-07-16;1;81,25
2010-07-17;1;63,125
2010-07-18;1;79,125
2010-07-19;0;72,125
2010-07-20;1;75,625
2010-07-21;1;78,5
2010-07-22;1;76,375
2010-07-23;1;58,75
2010-07-24;0;80,0
2010-07-25;1;89,5
2010-07-26;0;78,875
2010-07-27;1;79,28571428571429
2010-07-28;1;70,25
2010-07-29;1;73,625
2010-07-30;0;81,125
2010-07-31;1;69,625
2010-08-01;1;69,75
2010-08-02;1;73,25
2010-08-03;1;79,375
2010-08-04;0;83,875
2010-08-05;0;82,71428571428571
2010-08-06;1;74,375
2010-08-07;1;78,5
2010-08-08;1;80,0
2010-08-09;0;88,875
2010-08-10;0;84,125
2010-08-11;1;74,5
2010-08-12;1;81,875
2010-08-13;0;78,0
2010-08-14;0;85,375
2010-08-15;1;82,25
2010-08-16;1;57,25
2010-08-17;1;64,125
2010-08-18;0;81,375
2010-08-19;1;60,5
2010-08-20;1;69,0
2010-08-21;0;78,5
2010-08-22;0;80,875
2010-08-23;1;70,75
2010-08-24;0;87,0
2010-08-25;0;86,625
2010-08-26;0;88,625
2010-08-27;1;82,5
2010-08-28;1;83,5
2010-08-29;0;79,125
2010-08-30;1;62,625
2010-08-31;0;71,375
2010-09-01;1;71,625
2010-09-02;1;72,875
2010-09-03;0;88,75
2010-09-04;1;77,375
2010-09-05;1;76,5
2010-09-06;1;84,0
2010-09-07;1;81,5
2010-09-08;1;77,0
2010-09-09;1;76,375
2010-09-10;1;83,75
2010-09-11;0;90,875
2010-09-12;1;92,0
2010-09-13;1;88,625
2010-09-14;0;90,875
2010-09-15;0;89,25
2010-09-16;1;84,875
2010-09-17;0;85,125
2010-09-18;0;87,625
2010-09-19;0;86,75
2010-09-20;1;84,875
2010-09-21;0;93,125
2010-09-22;1;89,125
2010-09-23;1;88,0
2010-09-24;1;88,25
2010-09-25;1;90,125
2010-09-26;1;82,75
2010-09-27;1;69,0
2010-09-28;1;70,125
2010-09-29;1;75,25
2010-09-30;1;75,25
2010-10-01;1;81,125
2010-10-02;1;90,375
2010-10-03;1;92,375
2010-10-04;1;70,625
2010-10-05;1;68,0
2010-10-06;1;69,375
2010-10-07;1;70,875
2010-10-08;1;83,0
2010-10-09;1;87,5
2010-10-10;1;72,375
2010-10-11;1;64,75
2010-10-12;0;71,5
2010-10-13;1;70,875
2010-10-14;0;86,625
2010-10-16;1;75,125
2010-10-17;1;72,5
2010-10-18;1;78,125
2010-10-19;0;79,375
2010-10-20;0;91,125
2010-10-21;0;94,875
2010-10-22;0;86,5
2010-10-23;1;77,125
2010-10-24;0;93,375
2010-10-25;0;91,25
2010-10-26;0;88,875
2010-10-27;1;79,375
2010-10-28;0;92,28571428571429
2010-10-29;0;91,875
2010-10-30;1;94,5
2010-10-31;1;89,55555555555556
2010-11-01;1;93,75
2010-11-02;1;91,5
2010-11-03;0;93,375
2010-11-04;0;82,0
2010-11-05;1;84,75
2010-11-06;0;89,5
2010-11-07;1;77,625
2010-11-08;1;74,875
2010-11-09;0;85,125
2010-11-10;0;93,125
2010-11-11;0;85,14285714285714
2010-11-12;0;86,125
2010-11-13;0;91,875
2010-11-14;0;86,875
2010-11-15;0;95,0
2010-11-16;1;87,625
2010-11-17;1;79,125
2010-11-18;0;97,375
2010-11-19;1;91,0
2010-11-20;0;94,0
2010-11-21;0;93,0
2010-11-22;1;89,375
2010-11-23;0;85,125
2010-11-24;0;94,125
2010-11-25;0;78,0
2010-11-26;1;76,75
2010-11-27;1;78,42857142857143
2010-11-28;1;78,625
2010-11-29;1;79,625
2010-11-30;1;82,75
2010-12-01;1;85,625
2010-12-02;1;80,0
2010-12-03;0;81,875
2010-12-04;0;86,125
2010-12-05;0;88,125
2010-12-06;0;96,375
2010-12-07;0;95,625
2010-12-08;1;95,75
2010-12-09;0;93,625
2010-12-10;0;84,0
2010-12-11;0;89,875
2010-12-12;1;80,25
2010-12-13;1;83,5
2010-12-14;1;75,0
2010-12-15;1;79,875
2010-12-16;1;89,625
2010-12-17;1;85,625
2010-12-18;1;83,875
2010-12-19;0;91,14285714285714
2010-12-20;0;93,0
2010-12-21;0;90,875
2010-12-22;0;90,125
2010-12-23;1;83,0
2010-12-24;1;82,5
2010-12-25;0;81,25
2010-12-26;0;93,5
2010-12-27;0;87,875
2010-12-28;1;82,25
2010-12-29;1;85,625
2010-12-30;0;87,625
2010-12-31;0;89,125
2011-01-01;0;92,42857142857143
2011-01-02;1;86,0
2011-01-03;1;86,5
2011-01-04;1;88,375
2011-01-05;1;90,625
2011-01-06;0;86,5
2011-01-08;1;90,0
2011-01-09;0;97,625
2011-01-10;0;91,5
2011-01-11;1;84,75
2011-01-12;0;90,125
2011-01-13;0;91,75
2011-01-14;0;84,875
2011-01-15;1;82,5
2011-01-16;0;86,0
2011-01-17;0;98,125
2011-01-18;0;97,75
2011-01-19;0;98,25
2011-01-20;0;93,875
2011-01-21;1;92,75
2011-01-22;0;93,625
2011-01-23;0;90,875
2011-01-24;0;95,25
2011-01-25;0;94,0
2011-01-26;0;86,125
2011-01-27;0;89,5
2011-01-28;0;88,5
2011-01-29;1;89,5
2011-01-30;1;76,875
2011-01-31;1;86,625
2011-02-01;1;89,5
2011-02-02;0;96,375
2011-02-03;0;94,375
2011-02-04;0;88,625
2011-02-05;0;94,25
2011-02-06;1;87,625
2011-02-08;0;97,625
2011-02-10;1;80,875
2011-02-11;0;82,125
2011-02-12;0;79,875
2011-02-13;1;75,0
2011-02-14;1;75,75
2011-02-15;1;80,5
2011-02-16;1;80,875
2011-02-17;1;76,0
2011-02-18;1;74,875
2011-02-19;1;75,5
2011-02-20;1;81,5
2011-02-21;1;80,375
2011-02-22;1;78,5
2011-02-23;1;83,0
2011-02-24;1;81,625
2011-02-25;1;80,375
2011-02-26;1;76,375
2011-02-27;1;79,125
2011-02-28;1;76,125
2011-03-01;1;86,71428571428571
2011-03-02;1;83,875
2011-03-03;1;78,875
2011-03-04;1;78,375
2011-03-05;0;64,875
